year,title,rating,no_of_reviews,directors_actors,genres,runtime,gross
(2023),Statica,10.0,7,"Director:,Jamison Bright,,|,Stars:,Jamison Bright,,,Lauren Noble,,,Loren E. Chadima,,,Renée Boakes,","Action, Adventure, Crime",111 min,
(2022),Paper Line,10.0,6,"Director:,Ryan Watson,,|,Stars:,Breanna Bethell,,,Joshua Dupree,,,Alvin Eberhardt,,,Kareem Everison,",Action,49 min,
(2022),Ninja Moon Showdown,10.0,5,"Directors:,Avon Singh,,,Kevin Singh,,|,Stars:,Chayde Adams,,,Alessandro Aliquo,,,Marcello Aliquo,,,Piero Aliquo,",Action,99 min,
(2023),Deadland,9.8,24,"Director:,Lance Larson,,|,Stars:,Chris Mulkey,,,Julio Cesar Cedillo,,,McCaul Lombardi,,,Luis Chávez,","Action, Drama, Thriller",92 min,
(2022),Spy Ninjas: The Apocalypse,9.8,8,"Director:,Jason James,,|,Stars:,Melvin Achanzar,,,Daniela Aguilar,,,Chad Wild Clay,,,Dane Duncan,",Action,,
(1991),Angelito San Miguel at Ang Mga Batang City Jail,9.8,13,"Director:,Deo Fajardo Jr.,,|,Stars:,Raymart Santiago,,,Keempee de Leon,,,Kier Legaspi,,,Joko Diaz,","Action, Crime, Drama",107 min,
(2022),Love Mein,9.8,8,"Director:,Kumud Pant,,|,Stars:,Kumud Pant,,,Pooja Kimaya,,,Atul Sharma,,,Bharat Mistri,","Action, Romance",60 min,
(2021),Low Heat,9.8,6,"Director:,John Carroll DeShazier,,|,Stars:,Carleena Willis,,,Clinton D. Walker,,,John Carroll DeShazier,,,Christopher Payne,","Action, Comedy, Drama",48 min,
(2023),The Gods 2: The Dark Side,9.7,54,"Director:,Mykel Shannon Jenkins,,|,Stars:,Mykel Shannon Jenkins,,,Kevin Interdonato,,,Ernest Thomas,,,Nicoye Banks,","Action, Crime, Thriller",124 min,
(2023),The World in 2080,9.7,6,"Director:,Juwel Chowdhury,,|,Stars:,Juwel Chowdhury,,,Ricky Riyaf,","Action, Sci-Fi",200 min,
(2022),Shiba King: Assassination,9.7,7,"Directors:,Evan Carter,,,Matt Sullivan,,|,Stars:,Talothefox,,,Monstermutt,,,BleuSomme,,,Tailled,","Action, Comedy, Mystery",96 min,
(2021),Thorn in the Center of the Heart (Sin Lai Guh Ling Bang Do),9.7,13,"Director:,Thang Mung,,|,Stars:,Anthony Tucker Amirante,,,Nuam Boih,,,Emily Buckner,,,Shawn Christopher,",Action,82 min,
(2021),Agent Big Bones: Who Killed Jason Bones?,9.7,10,"Director:,Vikram Benipal,,|,Stars:,Vikram Benipal,,,Harshal Brahmbhatt,,,Jason Buyers,,,James Zhao Lu,",Action,,
(2023),Invisible Hacker,9.6,21,"Director:,Juwel Chowdhury,,|,Stars:,Juwel Chowdhury,,,Ricky Riyaf,","Action, Sci-Fi",150 min,
(2018),Turning Mecard W: The Secret of Van dine - Special Edition,9.6,8,"Director:,Heon Pyo Hong,,|,Star:,So Yeon,","Animation, Action, Adventure",76 min,
(2014),The Knight Squad,9.6,7,"Director:,David Noble,,|,Stars:,Yong Ho Nam,,,Johnny Vieira,,,Brian Forbes,,,Sun Kim,",Action,,
(2018),Hot Lead Hard Fury,9.5,14,"Director:,Mike Olafson,,|,Stars:,Will Beckingham,,,Marc Bilker,,,Scott Bufton,,,Sam Del Rio,","Action, Comedy",118 min,
(2022),Prince of Eurasia,9.5,61,"Directors:,I. Kolyada,,,Prince Oak Oakleyski,,|,Stars:,Nadezhda Borimskaya,,,Eldar Mahyanov,,,Batyrkhan Abayevich Malikov,,,Anastasia Marusenko,","Action, Biography, History",60 min,
(2022),The Stolen Valley,9.4,39,"Director:,Jesse Edwards,,|,Stars:,Briza Covarrubias,,,Allee Sutton Hethcoat,,,Micah Fitzgerald,,,Paula Miranda,","Action, Western",105 min,
